" 이스라엘, 코로나19 백신 4차접종 60세 이상 전체로 확대(종합) ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=104&oid=001&aid=0012893300, 연합뉴스언론사 선정9시간 전네이버뉴스 
 광주서 오미크론 확진 90대 2명 사망…국내 첫 사례 추정(종합) ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010923679, 뉴시스언론사 선정2시간 전네이버뉴스 
" 이스라엘서 오미크론 폭발적 확산 가능성‥""최대 400만명 예상"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=104&oid=214&aid=0001169889, MBC9시간 전네이버뉴스 
 오미크론 감염 111명 증가… 코로나19 신규 확진 3129명 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=102&oid=277&aid=0005024683, 아시아경제언론사 선정3시간 전네이버뉴스 
 태국서 백신 2회+부스터샷 접종에도 오미크론에 감염 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=104&oid=055&aid=0000943889, SBS4시간 전네이버뉴스 
" 오늘부터 방역패스 유효기간 적용…""오미크론 급속 확산"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=102&oid=448&aid=0000347974, TV조선언론사 선정6시간 전네이버뉴스 
 코로나19 신규 확진자 3129명···위중증 환자 1015명 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003120149, 경향신문언론사 선정3시간 전네이버뉴스 
" ""2차 백신 접종 마친 90대 2명 사망""... ‘오미크론 감염’ 첫 사망 사례(종합) ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=102&oid=629&aid=0000125177, 더팩트16분 전네이버뉴스 
" '오미크론 확산' 美 일평균 확진자 40만명…""전례없는 상승"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=104&oid=215&aid=0001006989, 한국경제TV3시간 전네이버뉴스 
" 美, 오미크론 확산에 감염자 “수직 상승”… 하루 평균 확진 40만 명 육박 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=104&oid=022&aid=0003653659, 세계일보언론사 선정2시간 전네이버뉴스 
" 신규 환자 3,129명...오늘부터 백신패스 유효기간 적용 ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001684797, YTN언론사 선정4시간 전네이버뉴스 
 광주에서 오미크론 첫 사망자 발생…2차 접종까지 한 90대 여성 2명(2보) ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005821132, 뉴스1언론사 선정2시간 전네이버뉴스 
" 신규확진 3천129명, 이틀 연속 3천명대…위중증 1천15명(종합) ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012893630, 연합뉴스언론사 선정4시간 전네이버뉴스 
" 美 오미크론, 1월 중순 정점 전망…""최대 540만명까지"" ",https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=104&oid=003&aid=0010922774, 뉴시스언론사 선정7시간 전네이버뉴스 
 브라질 리우항의 크루즈선에서 코로나19 확진자 28명 발생 ,https://m.news.naver.com/read?mode=LSD&mid=sec&sid1=104&oid=003&aid=0010922960, 뉴시스언론사 선정4시간 전네이버뉴스 
