,create_date,location_id,location_name,md101_sn,msg
0,2021/12/07 15:36:18,45,경기도 의왕시,132648,[의왕시청] ▲12월 7일 15시 기준 코로나19 확진자 42명 발생 pf.kakao.com/_xdPSRK ▲50세 이상 추가접종 중 ncvr.kdca.go.kr
1,2021/12/07 15:36:10,71,경상남도 함안군,132647,"[함안군청] 12월 7일 확진자 12명 발생(함안465~476, 사우나7, 확진자접촉2, 역학조사중3), 마스크착용 등 방역수칙 준수 바랍니다."
2,2021/12/07 15:30:11,227,충청남도 보령시,132646,"[보령시청]12.7.(화) 15:30기준 신규확진자 17명발생(확진자 접촉자16, 역학조사중1) 자세한 사항 vo.la/onM84 참고 / 김장 등 사적모임 자제"
3,2021/12/07 15:27:08,223,충청남도 공주시,132645,"[공주시청] 12월 7일 15시 기준, 확진자 4명(공주401~404번) 발생. 8명까지 사적모임 가능. 단, 식당카페는 모임인원 중 미접종자 1명만 허용됩니다."
4,2021/12/07 15:23:38,35,경기도 시흥시,132644,[시흥시청] 12월 7일 확진자 65명 발생 / 12~17세 접종 및 3차접종 가능 / 방역수칙 준수 바랍니다. https://vvd.bz/44v
5,2021/12/07 15:21:06,97,경상북도 포항시,132643,[포항시청] 확진자 버스동선 안내 동시간 탑승객은 보건소에서 검사바랍니다. https://blog.naver.com/inpohang/222589050541
6,2021/12/07 15:14:44,179,전라남도 전체,132642,"[전남도청]12.7.14시기준 도내 확진34명 √타지인 접촉후 지인과 학교로 집단감염√김장모임 마을주민 10명 연쇄확진▲타지역 이동자제, 방문·접촉시 검사받으세요"
7,2021/12/07 15:12:52,197,전라남도 장흥군,132641,"[장흥군청]▶12.2(목)11:30~12:30 끄니걱정(장흥읍) ▶12.6(월)12:30~13:30 시장국밥(대덕읍)이용자는 대덕보건지소,보건소선별진료소 검사바람"
8,2021/12/07 15:10:22,36,경기도 안산시,132640,[안산시청]12월7일14시기준 확진자 102명발생 asq.kr/YJC38lA ▲60세 이상 추가접종은 예약없이 가까운 병원에서 접종가능 url.kr/chfmlj
9,2021/12/07 15:01:47,55,경상남도 거창군,132639,[거창군청] 12월 7일(화) 15시 기준 확진자 1명 발생(거창160번) ▲동선 및 역학조사 중입니다.
