136768,2022/01/03,17:39:42,249,충청북도 충주시,[충주시청] 1월 3일 확진자 7명 발생[확진자 접촉(선행 1명. 타지역 1명). 격리중 5명)]▲연초 각종 모임 자제▲5인 이상 사적모임 금지 준수 바랍니다.
136767,2022/01/03,17:33:03,41,경기도 여주시,[여주시청] 1월 3일 확진자 1299~1305번 7명(관내7) 발생. 마스크 착용 등 방역수칙을 준수해 주세요 ☞ www.yeoju.go.kr
136766,2022/01/03,17:32:45,43,경기도 오산시,[오산시청]▲1월 3일 확진자 12명 발생 ▲18세 이상 기본접종 후 3개월 경과시 3차접종 사전예약 가능 ncvr.kdca.go.kr
136765,2022/01/03,17:32:26,60,경상남도 밀양시,[밀양시청]1월 3일(월) 17시 기준 코로나19 확진자 6명(밀양512-517번) 발생(확진자접촉4. 유증상2) 철저한 방역수칙 준수바랍니다.
136764,2022/01/03,17:25:16,29,경기도 김포시,[김포시청] 1월3일 17시 기준 코로나19 확진 39명 발생. 김포시블로그 vo.la/TzNHH 참조/ 마스크착용 등 방역수칙을 철저히 준수하시기 바랍니다.
136763,2022/01/03,17:19:33,26,경기도 광주시,[광주시청] 1월 3일 17시 기준 확진자 27명 발생. 18세 이상 등 추가접종은 https://ncvr2.kdca.go.kr/에서 예약바랍니다.
136762,2022/01/03,17:03:20,57,경상남도 김해시,[김해시청] 1.3.(월) 확진자 11명(관내 7. 타지역 1. 조사 중 3) / vo.la/E242P 참고바랍니다
136761,2022/01/03,17:00:52,223,충청남도 공주시,[공주시청] 1월 3일 17시 기준. 확진자 2명 발생. 공주513~514번(가족접촉 1. 관내 접촉 1). 사적모임 4인 제한. 식당. 카페 21시까지 운영
136760,2022/01/03,17:00:42,24,경기도 과천시,[과천시청] 1월3일17시 기준 신규확진 3명 발생 https://www.gccity.go.kr/corona.jsp 2차접종3개월경과자는예약후3차접종가능합니다
136759,2022/01/03,16:55:54,22,경기도 가평군,[가평군청] 1월 3일 코로나19 일일확진자 6명(805번~810번)발생. 기본방역 수칙 준수 철저 당부.
136758,2022/01/03,16:44:48,226,충청남도 당진시,[당진시청]1/2(월)16시기준 확진자6명(관내접촉1.격리중1.타지역접촉2.조사중2)발생.총1801명 ▲사적모임·이동 자제 등 방역수칙을 준수하여 주시기 바랍니다
136757,2022/01/03,16:37:23,68,경상남도 창원시,[창원시청] 12.30.(목) 14:42~15:42 천마온천 남탕(의창구 북면 천주로 1171) 이용자는 가까운 선별진료소에서 검사받으시기 바랍니다.
136756,2022/01/03,16:30:00,25,경기도 광명시,[광명시청] ▶1월 3일 16시 기준 확진자 18명 발생(관내 17. 관외 1) ▶코로나19 백신 추가접종 사전예약 바랍니다. (ncvr.kdca.go.kr)
136755,2022/01/03,16:27:48,57,경상남도 김해시,[김해시청] 12.29 13:00~14:30 posetiteli Diamond(서상동 83-1) dolznyi proiti testirovanie COVID-19
136754,2022/01/03,16:24:54,244,충청북도 음성군,[음성군청] 1월 3일 확진자 3명(내국인2. 외국인1) 발생▲동선 및 접촉자 조사중▲ 타지역 방문. 모임. 지인 초청 최대한 자제바랍니다.
136753,2022/01/03,16:24:47,241,충청북도 보은군,[보은군청] 1. 3.(월) 확진자 2명 발생 ▲ 자가격리(타지역)중 확진으로 이동동선 없음 ▲ 기침. 인후통 등 유증상시 선별진료소에서 검사받으시기 바랍니다.
136752,2022/01/03,16:14:00,235,충청남도 청양군,[청양군청] 1월 3일 16시 기준 확진자 1명 발생 청양161번(타지역 확진자 접촉1)▲감기증상 시 코로나19 검사▲타지역방문 자제 및 방역수칙 준수 바랍니다.
136751,2022/01/03,16:13:22,246,충청북도 진천군,[진천군청]▲1.3. 코로나 19 확진자 1명(내국인1) ▲기침. 콧물 등 증상발현시 보건소 코로나검사 바랍니다 ▲감염위험도를 낮추기 위해 추가접종 바랍니다.
136750,2022/01/03,16:12:13,196,전라남도 장성군,[장성군청] 1.3.(월) 16시 기준 확진자 2명 발생(자가격리중 확진. 장성동선없음) 가족·지인모임을 자제하시고. 2차접종 3개월 경과 시 추가접종 받으세요.
136749,2022/01/03,15:37:10,6406,충청북도 증평군,[증평군청] 1월 3일 16시 기준 확진자 1명 발생(확진자의 접촉자) ▲자세한 사항 홈페이지 참조 ▲코로나19 접종예약: 보건소 ☎043-835-4225
